DOM_EDIFIC,OTRAS_ENTR,NOMBRE_EST,NOMB_ABREV,TELEFONO,CORREO_WEB,NIVTIP,DEPFUN,LONGITUDE,LATITUDE,GEOJSON
Avda. Hipólito Yrigoyen 3700,,Inst. Intengral de Educación,I.I. de Educación,4867-3701,ide@sion.com,MedCom - MedAdu - SNUCom,Gestion Privada,-58.4185183011351,-34.6144453136235,"{""type"":""Point"",""coordinates"":[-58.41852,-34.61445]}"
Avda. Juan de Garay 2715,,Escuela Nueva Esperanza,Escuela Nueva Esperanza,4941-0103/7174,,IniCom - PriCom,Gestion Privada,-58.4027494823422,-34.6287459317279,"{""type"":""Point"",""coordinates"":[-58.40275,-34.62875]}"
24 de Noviembre 997,,Inst. Primera Escuela Priv. de Psicologia,I. Primera Escuela Priv. de Psicología,4957-1907 4931-0200,epstall@satlink.com,SNUCom,Gestion Privada,-58.4107310659169,-34.6225845533016,"{""type"":""Point"",""coordinates"":[-58.41073,-34.62258]}"
Yapeyú 582,,Jardin Materno Infantil Amanecer,Jardín Materno Infantil Amanecer,4982-9707 4981-4104,winkel@cvtci.com.ar,IniCom,Gestion Privada,-58.4214273001713,-34.618665505606,"{""type"":""Point"",""coordinates"":[-58.42143,-34.61867]}"
Avda. Rivadavia 4641,,Inst. Guillermo Rawson,Inst. Guillermo Rawson,4901-1234,,IniCom - PriCom - MedCom,Gestion Privada,-58.4313406288068,-34.6158749964484,"{""type"":""Point"",""coordinates"":[-58.43134,-34.61587]}"
Almte. Francisco J. Seguí 863,,Inst. Monseńor Dillon,Inst. Monseńor Dillon,4581-4159 4584-5565,mdillon@monsdillon.esc.edu.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.456378791491,-34.6144757346364,"{""type"":""Point"",""coordinates"":[-58.45638,-34.61448]}"
Espinosa 1220,,Inst. Redemptrix Captivorum,I. Redemptrix Captivorum,4581-1724,mercedarias@ciudad.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4534564656092,-34.609364309618,"{""type"":""Point"",""coordinates"":[-58.45346,-34.60936]}"
Luis Viale 420,,Inst. Regina Virginum Adoratrices,I. Regina Virginum Adoratrices,4854-0417,regivir@via_networks.net.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4470345506272,-34.6043439134841,"{""type"":""Point"",""coordinates"":[-58.44703,-34.60434]}"
Avda. Ángel Gallardo y Leopoldo Marechal,,Inst. Priv. Divino Rostro,Inst. Priv. Divino Rostro,4982-5277,,IniCom - PriCom - MedCom,Gestion Privada,-58.4385962119946,-34.605450597804,"{""type"":""Point"",""coordinates"":[-58.4386,-34.60545]}"
Acevedo 357,,Colegio Buenos Aires S.R.L.,Colegio Buenos Aires,4854-3882,info@colegiobsaires.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4412862976164,-34.5987592119536,"{""type"":""Point"",""coordinates"":[-58.44129,-34.59876]}"
Avda. Gaona 2068,,Inst. Sta. Brigida,Inst. Sta. Brígida,4581-1268,sb@santa_brigida.esc.edu.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4565043480356,-34.6129343703744,"{""type"":""Point"",""coordinates"":[-58.4565,-34.61293]}"
Migueletes 2039,,Inst. San Roman,Inst. San Román,4784-2585,sanroman@elsitio.net,IniCom - PriCom - MedCom,Gestion Privada,-58.446068050106,-34.5565894020081,"{""type"":""Point"",""coordinates"":[-58.44607,-34.55659]}"
3 de Febrero 1750,,Colegio Mayor,Colegio Mayor,4783-1712,colegiomayor@arnet.com.ar,IniCom,Gestion Privada,-58.4493033844992,-34.5626743297815,"{""type"":""Point"",""coordinates"":[-58.4493,-34.56267]}"
Arias 2915,,Inst. Divina Providencia,I Divina Providencia,4702-8270,,IniCom - PriCom - MedCom,Gestion Privada,-58.4783051846062,-34.5438512127598,"{""type"":""Point"",""coordinates"":[-58.47831,-34.54385]}"
Roque Pérez 2786,,Inst. Ntra. Sra. del Carmen,Inst. Ntra. Sra. del Carmen,4542-4697,carmenja@infovia.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4729299640899,-34.562426266846,"{""type"":""Point"",""coordinates"":[-58.47293,-34.56243]}"
Manuela Pedraza 3850,,Inst. Sta. Clara de Asis,Inst. Sta. Clara de Asís,4541-9911,,IniCom - PriCom - MedCom,Gestion Privada,-58.4790139648969,-34.5586381060226,"{""type"":""Point"",""coordinates"":[-58.47901,-34.55864]}"
Gral. Ramón Freire 1824,,Inst. Pestalozzi,Inst. Pestalozzi,4552-0670,secundaria@pestalozzi.esc.edu.,IniCom - PriCom - MedCom,Gestion Privada,-58.462267197513,-34.5692339760087,"{""type"":""Point"",""coordinates"":[-58.46227,-34.56923]}"
Dr. Alejandro Korn 4283,,Inst. Cristo Maestro,I Cristo Maestro,4568-0225,,IniCom - PriCom - MedCom,Gestion Privada,-58.495895904669,-34.6199949375998,"{""type"":""Point"",""coordinates"":[-58.4959,-34.61999]}"
Avda. Monroe 3021,,Escuela Argentina General Belgrano,Escuela Argentina General Belgrano,4543-4673,eagb@ciudad.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.465761723944,-34.5616371349102,"{""type"":""Point"",""coordinates"":[-58.46576,-34.56164]}"
Ramsay 2251,,Escuela Italiana Cristoforo Colombo,Escuela Italiana Cristóforo Colombo,4786-3505/3556 4781-0060,,IniCom - PriCom - MedCom,Gestion Privada,-58.4410682086056,-34.5505762583484,"{""type"":""Point"",""coordinates"":[-58.44107,-34.55058]}"
Almte. Francisco J. Seguí 552,,Inst. Mundo Feliz,Inst. Mundo Feliz,4632-7911,,IniEsp - PriEsp,Gestion Privada,-58.4549671821711,-34.6186079784112,"{""type"":""Point"",""coordinates"":[-58.45497,-34.61861]}"
Dr. Juan Felipe Aranguren 1352,,Inst. Suyay,Inst. Suyay,4431-8576,institutosuyay@elsitio.net,Otras,Gestion Privada,-58.4513296588665,-34.6181845441011,"{""type"":""Point"",""coordinates"":[-58.45133,-34.61818]}"
Dr. G. Aráoz Alfaro 373,,Escuela del Nuevo Sol,Escuela del Nuevo Sol,4903-4378 4904-0772,nuevosol@infovia.com,IniCom - PriCom - MedCom,Gestion Privada,-58.4360620433903,-34.6153785969477,"{""type"":""Point"",""coordinates"":[-58.43606,-34.61538]}"
Bogotá 123,,Escuela del Parque,Escuela del Parque,4958-6052/6100,escuela_del_parque@ciudad.com.,IniCom - PriCom,Gestion Privada,-58.4333063382584,-34.6130229601088,"{""type"":""Point"",""coordinates"":[-58.43331,-34.61302]}"
Eduardo Acevedo 560,,Inst. Priv. Tierra Nueva,I. Priv. Tierra Nueva,4982-1565,newlandcollege@ciudad.com.ar,IniCom - PriCom,Gestion Privada,-58.4327242298638,-34.609466326551,"{""type"":""Point"",""coordinates"":[-58.43272,-34.60947]}"
Azcuénaga 1630,,Inst. Ntra. Sra. de la Misericordia,I. Ntra. Sra. de la Misericordia,4805-5478/6703,misericordia@fibertel.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.3972855136091,-34.5901979052711,"{""type"":""Point"",""coordinates"":[-58.39729,-34.5902]}"
Azcuénaga 1654,,Hogar Casa de Misericordia,Hogar Casa de Misericordia,4805-9465,,IniCom - PriCom,Gestion Privada,-58.3971003992933,-34.5899454139489,"{""type"":""Point"",""coordinates"":[-58.3971,-34.58995]}"
Agüero 2320,,Colegio San Agustin,Colegio San Agustín,4802-4724,gelo@sanagustin.esc.edu.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4000213180522,-34.5862592194295,"{""type"":""Point"",""coordinates"":[-58.40002,-34.58626]}"
Arroyo 931,,Inst. Incorp. Josefa Capdevilla de Gutierrez,I. Incorp. Josefa Capdevilla de Gutierrez,4393-9918,colegio@madreadmirable.com.ar,IniCom - PriCom,Gestion Privada,-58.3806073741548,-34.5914053271604,"{""type"":""Point"",""coordinates"":[-58.38061,-34.59141]}"
Tte. Gral. Juan Domingo Perón 2169,,Inst. Priv. Escuela Cangallo,Inst. Priv. Escuela Cangallo,4953-0626/2657,administracion@escuelacangallo,IniCom - PriCom - MedCom,Gestion Privada,-58.3974366063339,-34.6071131988514,"{""type"":""Point"",""coordinates"":[-58.39744,-34.60711]}"
José A. Pacheco de Melo 2455,,Inst. Maria Bianchi de Copello,I. María Bianchi de Copello,4806-9135,,IniCom - PriCom,Gestion Privada,-58.3992282233781,-34.5879582414432,"{""type"":""Point"",""coordinates"":[-58.39923,-34.58796]}"
Paraguay 1867,,Escuela Particular Moderna,Escuela Particular Moderna,4812-7115/6522,iepm@arnet.com.ar,MedCom,Gestion Privada,-58.3941445994161,-34.598608649323,"{""type"":""Point"",""coordinates"":[-58.39414,-34.59861]}"
José A. Pacheco de Melo 2300,,Inst. San Pablo,Inst. San Pablo,4805-8033,info@csanpablo.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.3968969368484,-34.5894254966344,"{""type"":""Point"",""coordinates"":[-58.3969,-34.58943]}"
Viamonte 318,,Inst. Parroquial de la Merced,Inst. Parroquial de la Merced,4312-5771,colegio_la_merced_v@hotmail.co,IniCom - PriCom,Gestion Privada,-58.3716910191861,-34.5996986555523,"{""type"":""Point"",""coordinates"":[-58.37169,-34.5997]}"
Tte. Gral. Juan Domingo Perón 2239,,Inst. Oral Modelo,Inst. Oral Modelo,4801-7660/8884,ioma@ssdnet.com.ar,IniEsp - PriEsp,Gestion Privada,-58.3984282218172,-34.6071587553171,"{""type"":""Point"",""coordinates"":[-58.39843,-34.60716]}"
Castex 3348,,Inst. Bayard,I Bayard,4803-0902,bay@bayard.esc.edu.ar,IniCom - PriCom,Gestion Privada,-58.4055886270638,-34.5781931043857,"{""type"":""Point"",""coordinates"":[-58.40559,-34.57819]}"
Avda. Rivadavia 6028,,Inst. Argentino Excelsior,I Argentino Excelsior,4431-0561/9290,excelsior@interar.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4503450347674,-34.62442215095,"{""type"":""Point"",""coordinates"":[-58.45035,-34.62442]}"
Avda. Directorio 29,,Inst. Calasanz,I Calasanz,4922-0502,edupopular@elsitio.net,IniCom - PriCom - MedCom,Gestion Privada,-58.427239790372,-34.6269049142024,"{""type"":""Point"",""coordinates"":[-58.42724,-34.6269]}"
Hipólito Yrigoyen 4034,,Inst. Cardoso,I Cardoso,4981-2323,,MedCom - MedAdu,Gestion Privada,-58.4235550888675,-34.6149295663957,"{""type"":""Point"",""coordinates"":[-58.42356,-34.61493]}"
Avda. La Plata 82,,Inst. del Prof. Sagrado Corazon,I del Prof. Sagrado Corazón,4983-4569,mugarte@datamarkets.com.ar,SNUCom,Gestion Privada,-58.4288456533645,-34.6160165248234,"{""type"":""Point"",""coordinates"":[-58.42885,-34.61602]}"
Víctor Martínez 81,,Inst. Gral. Justo Jose de Urquiza,Inst. Gral. Justo José de Urquiza,4988-0010,colegiourquiza@advancedsl.com.,MedCom,Gestion Privada,-58.4452321374886,-34.6235741316576,"{""type"":""Point"",""coordinates"":[-58.44523,-34.62357]}"
Avda. Rivadavia 5652,,Inst. Marianista,Inst. Marianista,4988-0774/75,marianista@fibertel.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4450319301639,-34.6223248902482,"{""type"":""Point"",""coordinates"":[-58.44503,-34.62232]}"
Senillosa 568,,Inst. Sta. Maria,Inst. Sta. María,4921-7265,,IniCom - PriCom - MedCom,Gestion Privada,-58.4288513822941,-34.6232835555554,"{""type"":""Point"",""coordinates"":[-58.42885,-34.62328]}"
Rosario 638,,Inst. Sta. Rosa,Inst. Sta. Rosa,4901-3100 4902-5631,,IniCom - PriCom - MedCom,Gestion Privada,-58.4379185463486,-34.6200670955818,"{""type"":""Point"",""coordinates"":[-58.43792,-34.62007]}"
Hipólito Yrigoyen 4350,,Inst. Sagrado Corazon,Inst. Sagrado Corazón,4983-0033,,IniCom - PriCom - MedCom,Gestion Privada,-58.4279090908508,-34.6151731482143,"{""type"":""Point"",""coordinates"":[-58.42791,-34.61517]}"
Avda. Juan de Garay 4353,,Inst. Maria Auxiliadora,Inst. María Auxiliadora,4923-2109,,IniCom - PriCom,Gestion Privada,-58.4249014003665,-34.632153614365,"{""type"":""Point"",""coordinates"":[-58.4249,-34.63215]}"
México 4050,,Inst. San Antonio,Inst. San Antonio,4931-2139 4956-0542,institutosanantonio@infovia.com.ar,IniCom - PriCom,Gestion Privada,-58.4232033957977,-34.620385804565,"{""type"":""Point"",""coordinates"":[-58.4232,-34.62039]}"
Avda. Rivadavia 5672,,Colegio San Cirano,Colegio San Cirano,4431-7069 4432-0077,secundario@colegiosancirano.co,IniCom - PriCom - MedCom,Gestion Privada,-58.4454239693547,-34.6224763115553,"{""type"":""Point"",""coordinates"":[-58.44542,-34.62248]}"
Cnel. Ramón L. Falcón 1551,,Escuela Hogar Dr. Miguel V. Loureyro,Esc. Hogar Dr. Miguel V. Loureyro,4632-0461,,PriCom,Gestion Privada,-58.4505066775356,-34.6253446528101,"{""type"":""Point"",""coordinates"":[-58.45051,-34.62534]}"
Avda. Juan B. Alberdi 1679,,Inst. Antonio Provolo,I Antonio Provolo,4633-1706,,IniEsp - PriEsp,Gestion Privada,-58.4524684805853,-34.6275263181107,"{""type"":""Point"",""coordinates"":[-58.45247,-34.62753]}"
Víctor Martínez 62,,Inst. Monseńor Sabelli,Inst. Monseńor Sabelli,4431-0052,sabelli@elsitio.net,IniCom - PriCom,Gestion Privada,-58.4451967104366,-34.6232225746229,"{""type"":""Point"",""coordinates"":[-58.4452,-34.62322]}"
Avda. Rivadavia 4118,,Inst. America del Sur,I America del Sur,4981-3339,americadelsur@ciudad.com.ar,IniCom - PriCom,Gestion Privada,-58.4239266432603,-34.6129181311615,"{""type"":""Point"",""coordinates"":[-58.42393,-34.61292]}"
Avda. Rivadavia 4044,,Alberto Schweitzer,Alberto Schweitzer,4981-4290 4983-6924,schweitz@tutopia.com,IniCom - PriCom,Gestion Privada,-58.4228246789462,-34.6124553737519,"{""type"":""Point"",""coordinates"":[-58.42282,-34.61246]}"
Avda. Pedro Goyena 1345,,Colegio Canada,Colegio Canada,4432-5776/3710,colegiocanada@vol.com.a,IniCom - PriCom - MedCom,Gestion Privada,-58.4462847869159,-34.6271789992862,"{""type"":""Point"",""coordinates"":[-58.44628,-34.62718]}"
Talcahuano 1260,,Inst. Jesus Maria,Inst. Jesús María,4811-2724 5239-3066,isijm@isjm.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.3860530476692,-34.5938136962212,"{""type"":""Point"",""coordinates"":[-58.38605,-34.59381]}"
Paraguay 1419,,Inst. Priv. del Inmaculado Corazon de Maria Adoratrices,I. Priv. del Inmaculado Corazón de María,4812-1071 4813-5224,icma@ssdnet.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.387269890442,-34.5982201934388,"{""type"":""Point"",""coordinates"":[-58.38727,-34.59822]}"
Arenales 2065,,La Anunciata,La Anunciata,4823-4948 4827-1476,colegio_la_anunciata@datamarke,IniCom - PriCom - MedCom,Gestion Privada,-58.3966937913289,-34.5944162690389,"{""type"":""Point"",""coordinates"":[-58.39669,-34.59442]}"
Avda. Raúl Scalabrini Ortiz 2999,,Inst. Sta. Teresa de Jesus,I. Sta. Teresa de Jesús,4801-5354,,IniCom - PriCom - MedCom,Gestion Privada,-58.4110480333715,-34.5821795446313,"{""type"":""Point"",""coordinates"":[-58.41105,-34.58218]}"
Paraguay 1252,,Inst. Constanza Ramos Mejia de Bunge,I Constanza Ramos Mejía de Bunge,4816-1549,,IniCom - PriCom,Gestion Privada,-58.3848197225517,-34.5982226993952,"{""type"":""Point"",""coordinates"":[-58.38482,-34.59822]}"
Montevideo 467,,Inst. Argentino de Enseńanza Secundaria,I Argentino de Enseńanza Secundaria,4372-4491,iades@ciudad.com.ar,MedCom - MedAdu,Gestion Privada,-58.3893081262964,-34.6035051985005,"{""type"":""Point"",""coordinates"":[-58.38931,-34.60351]}"
Vicente López 1969,,Inst. Ntra. Sra. del Pilar,Inst. Ntra. Sra. del Pilar,4807-3641,postmaster@cf00293.esc.edu.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.3926481216603,-34.5893298810024,"{""type"":""Point"",""coordinates"":[-58.39265,-34.58933]}"
Avda. Pte. Figueroa Alcorta 3380,,Inst. San Martin de Tours,Inst. San Martín de Tours,4802-9192,ismt@cvtci.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4034611989427,-34.5779784287538,"{""type"":""Point"",""coordinates"":[-58.40346,-34.57798]}"
Paraná 56,,Escuela Parroquial La Piedad,Escuela Parroquial La Piedad,4383-9765,,IniCom - PriCom,Gestion Privada,-58.3877647733995,-34.6083940557275,"{""type"":""Point"",""coordinates"":[-58.38776,-34.60839]}"
Planes 1150,,Inst. Modelo Proyecto 2000,Inst. Modelo Proyecto 2000,4432-8299,rosiclair@sinectis.com.ar,PriEsp,Gestion Privada,-58.449824555025,-34.6124454150276,"{""type"":""Point"",""coordinates"":[-58.44982,-34.61245]}"
Azcuénaga 736,,Inst. Integral Talpiot,Inst. Integral Talpiot,4962-2390 4961-3610,talpist@interar.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4011587821249,-34.6005075825999,"{""type"":""Point"",""coordinates"":[-58.40116,-34.60051]}"
Avda. Ortiz de Ocampo 2840,,Colegio San Martin de Tours,Colegio San Martín de Tours,4807-1212,info@smt.edu.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4032003599748,-34.580087247468,"{""type"":""Point"",""coordinates"":[-58.4032,-34.58009]}"
Junín 1063,,Inst. Catolico de Est. Sociales,I Católico de Est. Sociales,5236-4136,,SNUCom,Gestion Privada,-58.3973053371836,-34.5963146713093,"{""type"":""Point"",""coordinates"":[-58.39731,-34.59631]}"
Avda. Callao 262,,Escuela Superior de Seguridad e Higiene Industrial,Esc. Sup. Seguridad e Higiene Industrial,4375-0104,ias@redynet.com.ar,SNUCom,Gestion Privada,-58.3923434210088,-34.6060690397649,"{""type"":""Point"",""coordinates"":[-58.39234,-34.60607]}"
Avda. Gral. Las Heras 2760,,Escuela de Enfermeria de la Cruz Roja Argentina,Esc .de Enfermería Cruz Roja Argentina,4951-1854,info@cruzroja.arg.ar,Otras,Gestion Privada,-58.4011013446009,-34.5842627251744,"{""type"":""Point"",""coordinates"":[-58.4011,-34.58426]}"
Montevideo 1050,,Inst. Superior Marista,Inst. Superior Marista,4816-5640,,SNUCom,Gestion Privada,-58.3900485852309,-34.5967637717618,"{""type"":""Point"",""coordinates"":[-58.39005,-34.59676]}"
Montevideo 467,,Inst. Argentino de Enseńanza Superior (IADES),IADES,4372-4491,,SNUCom,Gestion Privada,-58.3893081262964,-34.6035051985005,"{""type"":""Point"",""coordinates"":[-58.38931,-34.60351]}"
Rodríguez Peńa 628,,Escuela de Periodismo Deportivo,Escuela de Periodismo Deportivo,5032-9097/99,escuelacpd@data54.com,SNUCom,Gestion Privada,-58.3914582180548,-34.6015647636495,"{""type"":""Point"",""coordinates"":[-58.39146,-34.60156]}"
Tucumán 1647,,Inst. Superior de ASIMRA,Inst. Superior de ASIMRA,4371-1770,instsasimra@asimrainter.org.ar,SNUCom,Gestion Privada,-58.3902993298017,-34.6017519269085,"{""type"":""Point"",""coordinates"":[-58.3903,-34.60175]}"
Pte. José Evaristo Uriburu 1045,Marcelo T. de Alvear 2159,Inst. de Est. Superiores de Buenos Aires,I de Est. Superiores de BA,4822-6824/27,esbabarrionorte@esba.edu.ar,MedAdu - SNUCom,Gestion Privada,-58.3985614985241,-34.5962500801906,"{""type"":""Point"",""coordinates"":[-58.39856,-34.59625]}"
Marcelo T. de Alvear 1155,,Inst. Incorp. A.B.M.,Inst. Incorp. A.B.M.,4816-1314/4387,amb1@fibertel.com.ar,SNUCom,Gestion Privada,-58.3835621148367,-34.5967589513619,"{""type"":""Point"",""coordinates"":[-58.38356,-34.59676]}"
Lavalle 1838,,Universitas Estudios Superiores,Universitas Estudios Superiores,4374-2230 4373-3199,,SNUCom,Gestion Privada,-58.3930732535752,-34.6032663370816,"{""type"":""Point"",""coordinates"":[-58.39307,-34.60327]}"
Uruguay 57,,Fund. Altos Est. de Ciencias Comerciales,Fund. Altos Est. de Ciencias Comerciales,4124-4700,,SNUCom,Gestion Privada,-58.3861955825229,-34.6081211331931,"{""type"":""Point"",""coordinates"":[-58.3862,-34.60812]}"
Suipacha 1333,,Asociacion Argentina de Cultura Inglesa,Asociación Argentina de Cultura Inglesa,4393-0275/2004,profesorado.traductorado@aacibsas.or,SNUCom,Gestion Privada,-58.3799853444869,-34.5921819132862,"{""type"":""Point"",""coordinates"":[-58.37999,-34.59218]}"
Bartolomé Mitre 970,,Inst. Raul Scalabrini Ortiz,Inst. Raul Scalabrini Ortiz,4342-2357,secirso@velocom.com.ar,MedCom - SNUCom,Gestion Privada,-58.3802152321201,-34.6073196910861,"{""type"":""Point"",""coordinates"":[-58.38022,-34.60732]}"
Pte. José Evaristo Uriburu 1222,,Escuela Arco Iris,Escuela Arco Iris,4824-4697 4822-1320,arcoiris@websail.com.ar,IniCom - PriCom,Gestion Privada,-58.3980784227083,-34.5940563929069,"{""type"":""Point"",""coordinates"":[-58.39808,-34.59406]}"
Avda. Córdoba 1739,,Inst. Inmaculada Concepcion de Maria,Inst. Inmaculada Concepción de María,5238-1874,,MedCom,Gestion Privada,-58.3920632020742,-34.5994818951775,"{""type"":""Point"",""coordinates"":[-58.39206,-34.59948]}"
Calles 5 y 8 (Retiro ),,Inst. Comunidad Filii Dei,I Comunidad Filii Dei,4312-2348,,IniCom - PriCom - MedCom,Gestion Privada,-58.3768002294254,-34.5833170652184,"{""type"":""Point"",""coordinates"":[-58.3768,-34.58332]}"
Austria 1829,,Iupi Kindergarden,Iupi Kindergarden,4821-9436,INFO@IUPIKINDERGARDEN.COM.AR,IniCom,Gestion Privada,-58.4067105919768,-34.5901030989826,"{""type"":""Point"",""coordinates"":[-58.40671,-34.5901]}"
Guido 1880,,Colegio Las Cumbres,Colegio Las Cumbres,4801-6139/1776,lascumbres@datamarkets.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.3907600098376,-34.5895313488575,"{""type"":""Point"",""coordinates"":[-58.39076,-34.58953]}"
Avda. Córdoba 1555,,Inst. Superior de Capacitacion Hotelera C.E.N.C.A.P,I. Sup. de Capac.Hotelera C.E.N.C.A.P.,4815-1513,info@cencap.edu.ar,SNUCom,Gestion Privada,-58.3890418775855,-34.5992582522591,"{""type"":""Point"",""coordinates"":[-58.38904,-34.59926]}"
Tucumán 2030,,Inst. Modelo Abraham Lincoln,Inst. Modelo Abraham Lincoln,4373-2616,lincoln1@impsat.com.ar,MedAdu - SNUCom,Gestion Privada,-58.3960827505356,-34.6022808504277,"{""type"":""Point"",""coordinates"":[-58.39608,-34.60228]}"
Avda. Callao 67,,Inst. Nueva Escuela de Diseńo y Decoracion,I. Nueva Escuela de Diseńo y Decoración,4371-4540 4373-1377,info@nuevaescuela.edu.ar,SNUArt,Gestion Privada,-58.3918406390162,-34.6083875529901,"{""type"":""Point"",""coordinates"":[-58.39184,-34.60839]}"
Avda. Corrientes 1994,,Inst. C.E.P.E.C,I C.E.P.E.C,4953-7099/2831,cepec@cepec.edu.ar,SNUCom,Gestion Privada,-58.3951070410913,-34.604664378779,"{""type"":""Point"",""coordinates"":[-58.39511,-34.60466]}"
Jerónimo Salguero 2969,,Centro Internacional de Hoteleria y Serv.,C. Internac. de Hoteleria y Servicios,4801-7317/2197,info@cihs.com.ar,SNUCom,Gestion Privada,-58.4061547341698,-34.5781249860609,"{""type"":""Point"",""coordinates"":[-58.40615,-34.57812]}"
Virrey del Pino 3541,,Inst. Anunciacion de Maria,I Anunciación de María,4552-5068,anunciacion@ssdnet.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4652278036192,-34.5727632272348,"{""type"":""Point"",""coordinates"":[-58.46523,-34.57276]}"
Echeverría 3361,,Inst. San Brendano,Inst. San Brendano,4555-5002,stbrendans@nalejandria.com.ar,PriCom - MedCom,Gestion Privada,-58.4654386410992,-34.5685045502603,"{""type"":""Point"",""coordinates"":[-58.46544,-34.5685]}"
Vidal 1838,,Inst. Superior Argentino 2000,Inst. Superior Argentino 2000,4784-3413 4788-2535,nea2000@interar.com.ar,SNUCom,Gestion Privada,-58.4583256142231,-34.5667040550507,"{""type"":""Point"",""coordinates"":[-58.45833,-34.5667]}"
Mcal. Antonio José de Sucre 2824,,Nueva Escuela Argentina 2000,Nueva Escuela Argentina 2000,4784-3413 4781-5686,,IniCom - PriCom - MedCom,Gestion Privada,-58.4588786752119,-34.5663373484468,"{""type"":""Point"",""coordinates"":[-58.45888,-34.56634]}"
Superi 2132,Superi 2136,Jardin de Infantes A.B.C.,Jardín de Infantes A.B.C.,4544-5761,,IniCom,Gestion Privada,-58.4668907064179,-34.5676232202039,"{""type"":""Point"",""coordinates"":[-58.46689,-34.56762]}"
Iberá 2351,,Inst. de Enseńanza Gral. San Martin,I de Enseńanza Gral. San Martín,4703-3589,,MedCom - SNUCom,Gestion Privada,-58.4640394084131,-34.5531367603929,"{""type"":""Point"",""coordinates"":[-58.46404,-34.55314]}"
Ramsay 2131,,Liceo Franco Argentino Jean Mermoz,Liceo Franco Argentino Jean Mermoz,4781-6054 al 56,lycee@lyceemermoz.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4400983183834,-34.551711917693,"{""type"":""Point"",""coordinates"":[-58.4401,-34.55171]}"
Avda. Congreso 3377,,Inst. Educ. Moruli,I Educ. Moruli,4545-1900,,IniCom - PriCom - MedCom,Gestion Privada,-58.4723803863456,-34.5604779187001,"{""type"":""Point"",""coordinates"":[-58.47238,-34.56048]}"
Virrey del Pino 3299,,Inst. Leonardo Sworn,Inst. Leonardo Sworn,4552-2498,,IniCom - PriCom - MedCom,Gestion Privada,-58.4619581788971,-34.5710440120078,"{""type"":""Point"",""coordinates"":[-58.46196,-34.57104]}"
Avda. Jorge Newbery 2909,,La Escuelita,La Escuelita,4552-8701 4553-1927,,IniCom - PriCom,Gestion Privada,-58.4449600085044,-34.5761809056712,"{""type"":""Point"",""coordinates"":[-58.44496,-34.57618]}"
Gral. Venancio Flores 65,,Escuela de la Paz,Escuela de la Paz,4904-3033,escueladelapaz@ciudad.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.4315186374987,-34.6138417973401,"{""type"":""Point"",""coordinates"":[-58.43152,-34.61384]}"
José Bonifacio 1075,,Inst. Saint Exupery,Inst. Saint Exupery,4433-2769,sainte@rcc.com.ar,IniCom - PriCom - MedCom,Gestion Privada,-58.442574849827,-34.6278873518526,"{""type"":""Point"",""coordinates"":[-58.44257,-34.62789]}"
Avda. Juan B. Alberdi 1577,,Inst. Educativo Modelo,I Educativo Modelo,4432-1150,,MedCom,Gestion Privada,-58.4505242386066,-34.6265472789886,"{""type"":""Point"",""coordinates"":[-58.45052,-34.62655]}"
Avda. Belgrano 4299,,Fund. Gutenberg Inst. Arg. de Artes Graficas,Fund. Gutenberg I. Arg. de Artes Gráficas,4981-5389,info@fundaciongutenberg.edu.ar,MedCom - SNUCom,Gestion Privada,-58.427224808133,-34.6159681245746,"{""type"":""Point"",""coordinates"":[-58.42722,-34.61597]}"
Víctor Martínez 1739,,Escuela Miguel Hernandez,Escuela Miguel Hernández,4925-1627/3638,miguel_hernandez@sinectis.com.,IniCom - PriCom,Gestion Privada,-58.4389376036698,-34.6398892280837,"{""type"":""Point"",""coordinates"":[-58.43894,-34.63989]}"
Avda. Juan B. Alberdi 1577,,Educ. Modelo,Educ. Modelo,4432-1150,iemodelo@ciudad.com.ar,IniCom - PriCom,Gestion Privada,-58.4505242386066,-34.6265472789886,"{""type"":""Point"",""coordinates"":[-58.45052,-34.62655]}"
